,Mass (g),Motor mass (g),CG location (cm),Reference length (cm)
679,31820.0,4757.0,,
680,31820.0,4757.0,,
681,31820.0,4757.0,,
682,31820.0,4757.0,,
683,31820.0,4757.0,,
684,31820.0,4757.0,,
685,31820.0,4757.0,,
686,31820.0,4757.0,,
687,31820.0,4757.0,,
688,31820.0,4757.0,,
689,31820.0,4757.0,,
690,31820.0,4757.0,,
691,31820.0,4757.0,,
692,31820.0,4757.0,,
693,31820.0,4757.0,,
694,31820.0,4757.0,,
695,31820.0,4757.0,,
696,31820.0,4757.0,,
697,31820.0,4757.0,,
698,31820.0,4757.0,,
699,31820.0,4757.0,,
700,31820.0,4757.0,,
701,31820.0,4757.0,,
702,31820.0,4757.0,,
703,31820.0,4757.0,,
704,31820.0,4757.0,,
705,31820.0,4757.0,,
706,31820.0,4757.0,,
707,31820.0,4757.0,,
708,31820.0,4757.0,,
709,31820.0,4757.0,,
710,31820.0,4757.0,,
711,31820.0,4757.0,,
712,31820.0,4757.0,,
713,31820.0,4757.0,,
714,31820.0,4757.0,,
715,31820.0,4757.0,,
716,31820.0,4757.0,,
717,31820.0,4757.0,,
718,31820.0,4757.0,,
719,31820.0,4757.0,,
720,31820.0,4757.0,,
721,31820.0,4757.0,,
722,31820.0,4757.0,,
723,31820.0,4757.0,,
724,31820.0,4757.0,,
725,31820.0,4757.0,,
726,31820.0,4757.0,,
727,31820.0,4757.0,,
728,31820.0,4757.0,,
729,31820.0,4757.0,,
730,31820.0,4757.0,,
731,31820.0,4757.0,,
732,31820.0,4757.0,,
733,31820.0,4757.0,,
734,31820.0,4757.0,,
735,31820.0,4757.0,,
736,31820.0,4757.0,,
737,31820.0,4757.0,,
738,31820.0,4757.0,,
739,31820.0,4757.0,,
740,31820.0,4757.0,,
741,31820.0,4757.0,,
742,31820.0,4757.0,,
743,31820.0,4757.0,,
744,31820.0,4757.0,,
745,31820.0,4757.0,,
746,31820.0,4757.0,,
747,31820.0,4757.0,,
748,31820.0,4757.0,,
749,31820.0,4757.0,,
